0030;0039
0041;005A
005F;
0061;007A
00AA;
00B5;
00B7;
00BA;
00C0;00D6
00D8;00F6
00F8;01BA
01BB;
01BC;01BF
01C0;01C3
01C4;0293
0294;0295
0296;02AF
02B0;02C1
02C6;02D1
02E0;02E4
02EC;
02EE;
0300;036F
0370;0373
0374;
0376;0377
037A;
037B;037D
037F;
0386;
0387;
0388;038A
038C;
038E;03A1
03A3;03F5
03F7;0481
0483;0487
048A;052F
0531;0556
0559;
0560;0588
0591;05BD
05BF;
05C1;05C2
05C4;05C5
05C7;
05D0;05EA
05EF;05F2
0610;061A
0620;063F
0640;
0641;064A
064B;065F
0660;0669
066E;066F
0670;
0671;06D3
06D5;
06D6;06DC
06DF;06E4
06E5;06E6
06E7;06E8
06EA;06ED
06EE;06EF
06F0;06F9
06FA;06FC
06FF;
0710;
0711;
0712;072F
0730;074A
074D;07A5
07A6;07B0
07B1;
07C0;07C9
07CA;07EA
07EB;07F3
07F4;07F5
07FA;
07FD;
0800;0815
0816;0819
081A;
081B;0823
0824;
0825;0827
0828;
0829;082D
0840;0858
0859;085B
0860;086A
0870;0887
0889;088F
0897;089F
08A0;08C8
08C9;
08CA;08E1
08E3;0902
0903;
0904;0939
093A;
093B;
093C;
093D;
093E;0940
0941;0948
0949;094C
094D;
094E;094F
0950;
0951;0957
0958;0961
0962;0963
0966;096F
0971;
0972;0980
0981;
0982;0983
0985;098C
098F;0990
0993;09A8
09AA;09B0
09B2;
09B6;09B9
09BC;
09BD;
09BE;09C0
09C1;09C4
09C7;09C8
09CB;09CC
09CD;
09CE;
09D7;
09DC;09DD
09DF;09E1
09E2;09E3
09E6;09EF
09F0;09F1
09FC;
09FE;
0A01;0A02
0A03;
0A05;0A0A
0A0F;0A10
0A13;0A28
0A2A;0A30
0A32;0A33
0A35;0A36
0A38;0A39
0A3C;
0A3E;0A40
0A41;0A42
0A47;0A48
0A4B;0A4D
0A51;
0A59;0A5C
0A5E;
0A66;0A6F
0A70;0A71
0A72;0A74
0A75;
0A81;0A82
0A83;
0A85;0A8D
0A8F;0A91
0A93;0AA8
0AAA;0AB0
0AB2;0AB3
0AB5;0AB9
0ABC;
0ABD;
0ABE;0AC0
0AC1;0AC5
0AC7;0AC8
0AC9;
0ACB;0ACC
0ACD;
0AD0;
0AE0;0AE1
0AE2;0AE3
0AE6;0AEF
0AF9;
0AFA;0AFF
0B01;
0B02;0B03
0B05;0B0C
