0021;0023
0024;
0025;0027
0028;
0029;
002A;
002B;
002C;
002D;
002E;002F
003A;003B
003C;003E
003F;0040
005B;
005C;
005D;
005E;
0060;
007B;
007C;
007D;
007E;
00A1;
00A2;00A5
00A6;
00A7;
00A9;
00AB;
00AC;
00AE;
00B0;
00B1;
00B6;
00BB;
00BF;
00D7;
00F7;
2010;2015
2016;2017
2018;
2019;
201A;
201B;201C
201D;
201E;
201F;
2020;2027
2030;2038
2039;
203A;
203B;203E
2041;2043
2044;
2045;
2046;
2047;2051
2052;
2053;
2055;205E
2190;2194
2195;2199
219A;219B
219C;219F
21A0;
21A1;21A2
21A3;
21A4;21A5
21A6;
21A7;21AD
21AE;
21AF;21CD
21CE;21CF
21D0;21D1
21D2;
21D3;
21D4;
21D5;21F3
21F4;22FF
2300;2307
2308;
2309;
230A;
230B;
230C;231F
2320;2321
2322;2328
2329;
232A;
232B;237B
237C;
237D;239A
239B;23B3
23B4;23DB
23DC;23E1
23E2;2429
242A;243F
2440;244A
244B;245F
2500;25B6
25B7;
25B8;25C0
25C1;
25C2;25F7
25F8;25FF
2600;266E
266F;
2670;2767
2768;
2769;
276A;
276B;
276C;
276D;
276E;
276F;
2770;
2771;
2772;
2773;
2774;
2775;
2794;27BF
27C0;27C4
27C5;
27C6;
27C7;27E5
27E6;
27E7;
27E8;
27E9;
27EA;
27EB;
27EC;
27ED;
27EE;
27EF;
27F0;27FF
2800;28FF
2900;2982
2983;
2984;
2985;
2986;
2987;
2988;
2989;
298A;
298B;
298C;
298D;
298E;
298F;
2990;
2991;
2992;
2993;
2994;
2995;
2996;
2997;
2998;
2999;29D7
29D8;
29D9;
29DA;
29DB;
29DC;29FB
29FC;
29FD;
29FE;2AFF
2B00;2B2F
2B30;2B44
2B45;2B46
2B47;2B4C
2B4D;2B73
2B74;2B75
2B76;2BFF
2E00;2E01
2E02;
2E03;
2E04;
2E05;
2E06;2E08
2E09;
2E0A;
2E0B;
2E0C;
2E0D;
2E0E;2E16
2E17;
2E18;2E19
2E1A;
2E1B;
2E1C;
2E1D;
2E1E;2E1F
2E20;
2E21;
2E22;
2E23;
2E24;
2E25;
2E26;
2E27;
2E28;
2E29;
2E2A;2E2E
2E2F;
2E30;2E39
2E3A;2E3B
2E3C;2E3F
2E40;
2E41;
2E42;
2E43;2E4F
2E50;2E51
2E52;2E54
2E55;
2E56;
2E57;
2E58;
2E59;
2E5A;
2E5B;
2E5C;
2E5D;
2E5E;2E7F
3001;3003
3008;
3009;
300A;
300B;
300C;
300D;
300E;
300F;
3010;
3011;
3012;3013
3014;
3015;
3016;
3017;
3018;
3019;
301A;
301B;
301C;
301D;
301E;301F
3020;
3030;
FD3E;
FD3F;
FE45;FE46
